document-uri,effective-directive,blocked-uri,source-file,line-number,column-number,0
about:blank,connect-src,http://as.eu.angsrvr.com/select?type=dyn&plc=1083253&cache=984045556&ang_domain=https%3a%2f%2fsupport.mozilla.org%2ft5%2fSincronize-e-salve%2ftkb-p%2fsync-and-save-kb-pt-br&ang_ref=https%3a%2f%2fsupport.mozilla.org%2ft5%2fSincronize-e-salve%2ftkb-p%2fsync-and-save-kb-pt-br&ang_page=https%3a%2f%2fsupport.mozilla.org%2ft5%2fSincronize-e-salve%2ftkb-p%2fsync-and-save-kb-pt-br&ang_width=640&ang_height=480&ang_vpaid=true,https://cdn.optimatic.com/opti-vast-client/opti-vast-client-1.1.6.js,11,22544,1
about:blank,connect-src,http://ssp.lkqd.net/ad?pid=137&sid=205876&output=vastvpaid&support=html5flash&execution=any&placement=&playinit=auto&volume=0&width=640&height=480&dnt=[DO_NOT_TRACK]&ip=177.19.71.197&ua=Mozilla%2f5.0+(Windows+NT+6.1%3b+WOW64)+AppleWebKit%2f537.36+(KHTML%2c+like+Gecko)+Chrome%2f58.0.2988.0+Safari%2f537.36&pageurl=https%3a%2f%2fsupport.mozilla.org%2ft5%2fSincronize-e-salve%2fVisualize-abas-sincronizadas-a-partir-de-outros-dispositivos%2fta-p%2f38579&contentid=UKylJwCSwrHM&contenttitle=&contentlength=[CONTENT_LENGTH]&contenturl=[CONTENT_URL]&rnd=653540947,https://cdn.optimatic.com/opti-vast-client/opti-vast-client-1.1.6.js,11,22648,1
about:blank,connect-src,http://ssp.lkqd.net/ad?pid=137&sid=205876&output=vastvpaid&support=html5flash&execution=any&placement=&playinit=auto&volume=0&width=640&height=480&dnt=[DO_NOT_TRACK]&ip=177.19.71.197&ua=Mozilla%2f5.0+(Windows+NT+6.1%3b+WOW64)+AppleWebKit%2f537.36+(KHTML%2c+like+Gecko)+Chrome%2f58.0.2988.0+Safari%2f537.36&pageurl=https%3a%2f%2fsupport.mozilla.org%2ft5%2fSincronize-e-salve%2ftkb-p%2fsync-and-save-kb-pt-br&contentid=UKylJwCSwrHM&contenttitle=&contentlength=[CONTENT_LENGTH]&contenturl=[CONTENT_URL]&rnd=166187542,https://cdn.optimatic.com/opti-vast-client/opti-vast-client-1.1.6.js,11,22648,1
about:blank,connect-src,http://ssp.lkqd.net/ad?pid=137&sid=205876&output=vastvpaid&support=html5flash&execution=any&placement=&playinit=auto&volume=0&width=640&height=480&dnt=[DO_NOT_TRACK]&ip=177.19.71.197&ua=Mozilla%2f5.0+(Windows+NT+6.1%3b+WOW64)+AppleWebKit%2f537.36+(KHTML%2c+like+Gecko)+Chrome%2f58.0.2988.0+Safari%2f537.36&pageurl=https%3a%2f%2fsupport.mozilla.org%2ft5%2fSincronize-e-salve%2ftkb-p%2fsync-and-save-kb-pt-br&contentid=UKylJwCSwrHM&contenttitle=&contentlength=[CONTENT_LENGTH]&contenturl=[CONTENT_URL]&rnd=524448886,https://cdn.optimatic.com/opti-vast-client/opti-vast-client-1.1.6.js,11,22544,1
about:blank,connect-src,http://ssp.lkqd.net/ad?pid=137&sid=205876&output=vastvpaid&support=html5flash&execution=any&placement=&playinit=auto&volume=0&width=640&height=480&dnt=[DO_NOT_TRACK]&ip=177.19.71.197&ua=Mozilla%2f5.0+(Windows+NT+6.1%3b+WOW64)+AppleWebKit%2f537.36+(KHTML%2c+like+Gecko)+Chrome%2f58.0.2988.0+Safari%2f537.36&pageurl=https%3a%2f%2fsupport.mozilla.org%2ft5%2fSincronize-e-salve%2ftkb-p%2fsync-and-save-kb-pt-br&contentid=UKylJwCSwrHM&contenttitle=&contentlength=[CONTENT_LENGTH]&contenturl=[CONTENT_URL]&rnd=826251941,https://cdn.optimatic.com/opti-vast-client/opti-vast-client-1.1.6.js,11,22648,1
about:blank,connect-src,http://ssp.lkqd.net/ad?pid=137&sid=205876&output=vastvpaid&support=html5flash&execution=any&placement=&playinit=auto&volume=0&width=640&height=480&dnt=[DO_NOT_TRACK]&ip=177.19.71.197&ua=Mozilla%2f5.0+(Windows+NT+6.1%3b+WOW64)+AppleWebKit%2f537.36+(KHTML%2c+like+Gecko)+Chrome%2f58.0.2988.0+Safari%2f537.36&pageurl=https%3a%2f%2fsupport.mozilla.org%2ft5%2fSincronize-e-salve%2ftkb-p%2fsync-and-save-kb-pt-br&contentid=UKylJwCSwrHM&contenttitle=&contentlength=[CONTENT_LENGTH]&contenturl=[CONTENT_URL]&rnd=944495626,https://cdn.optimatic.com/opti-vast-client/opti-vast-client-1.1.6.js,11,22648,1
about:blank,connect-src,http://ssp.lkqd.net/ad?pid=137&sid=242637&output=vastvpaid&support=html5flash&execution=any&placement=&playinit=auto&volume=0&width=640&height=480&dnt=[opt_dnt]&ip=177.19.71.197&ua=Mozilla%2f5.0+(Windows+NT+6.1%3b+WOW64)+AppleWebKit%2f537.36+(KHTML%2c+like+Gecko)+Chrome%2f58.0.2988.0+Safari%2f537.36&pageurl=https%3a%2f%2fsupport.mozilla.org%2ft5%2fSincronize-e-salve%2fComo-definir-quais-informa%25C3%25A7%25C3%25B5es-sincronizar-no-Firefox%2fta-p%2f10661%23w_gerenciar-informaadaies-de-sincronizaadaco-em-um-computador&contentid=&contenttitle=&contentlength=[CONTENT_LENGTH]&contenturl=&rnd=594802610,https://cdn.optimatic.com/opti-vast-client/opti-vast-client-1.1.6.js,11,22544,1
about:blank,connect-src,http://ssp.lkqd.net/ad?pid=137&sid=242637&output=vastvpaid&support=html5flash&execution=any&placement=&playinit=auto&volume=0&width=640&height=480&dnt=[opt_dnt]&ip=177.19.71.197&ua=Mozilla%2f5.0+(Windows+NT+6.1%3b+WOW64)+AppleWebKit%2f537.36+(KHTML%2c+like+Gecko)+Chrome%2f58.0.2988.0+Safari%2f537.36&pageurl=https%3a%2f%2fsupport.mozilla.org%2ft5%2fSincronize-e-salve%2fVisualize-abas-sincronizadas-a-partir-de-outros-dispositivos%2fta-p%2f38579&contentid=&contenttitle=&contentlength=[CONTENT_LENGTH]&contenturl=&rnd=653540947,https://cdn.optimatic.com/opti-vast-client/opti-vast-client-1.1.6.js,11,22544,1
about:blank,connect-src,http://ssp.lkqd.net/ad?pid=137&sid=242637&output=vastvpaid&support=html5flash&execution=any&placement=&playinit=auto&volume=0&width=640&height=480&dnt=[opt_dnt]&ip=177.19.71.197&ua=Mozilla%2f5.0+(Windows+NT+6.1%3b+WOW64)+AppleWebKit%2f537.36+(KHTML%2c+like+Gecko)+Chrome%2f58.0.2988.0+Safari%2f537.36&pageurl=https%3a%2f%2fsupport.mozilla.org%2ft5%2fSincronize-e-salve%2ftkb-p%2fsync-and-save-kb-pt-br&contentid=&contenttitle=&contentlength=[CONTENT_LENGTH]&contenturl=&rnd=524448886,https://cdn.optimatic.com/opti-vast-client/opti-vast-client-1.1.6.js,11,22544,1
about:blank,connect-src,http://ssp.lkqd.net/ad?pid=137&sid=242637&output=vastvpaid&support=html5flash&execution=any&placement=&playinit=auto&volume=0&width=640&height=480&dnt=[opt_dnt]&ip=177.19.71.197&ua=Mozilla%2f5.0+(Windows+NT+6.1%3b+WOW64)+AppleWebKit%2f537.36+(KHTML%2c+like+Gecko)+Chrome%2f58.0.2988.0+Safari%2f537.36&pageurl=https%3a%2f%2fsupport.mozilla.org%2ft5%2fSincronize-e-salve%2ftkb-p%2fsync-and-save-kb-pt-br&contentid=&contenttitle=&contentlength=[CONTENT_LENGTH]&contenturl=&rnd=944495626,https://cdn.optimatic.com/opti-vast-client/opti-vast-client-1.1.6.js,11,22544,1
about:blank,connect-src,http://ssp.lkqd.net/ad?pid=137&sid=242637&output=vastvpaid&support=html5flash&execution=any&placement=&playinit=auto&volume=0&width=640&height=480&dnt=[opt_dnt]&ip=177.19.71.197&ua=Mozilla%2f5.0+(Windows+NT+6.1%3b+WOW64)+AppleWebKit%2f537.36+(KHTML%2c+like+Gecko)+Chrome%2f58.0.2988.0+Safari%2f537.36&pageurl=https%3a%2f%2fsupport.mozilla.org%2ft5%2fSincronize-e-salve%2ftkb-p%2fsync-and-save-kb-pt-br&contentid=&contenttitle=&contentlength=[CONTENT_LENGTH]&contenturl=&rnd=944495626,https://cdn.optimatic.com/opti-vast-client/opti-vast-client-1.1.6.js,11,22648,1
about:blank,connect-src,http://ssp.lkqd.net/ad?pid=137&sid=242637&output=vastvpaid&support=html5flash&execution=any&placement=&playinit=auto&volume=0&width=640&height=480&dnt=[opt_dnt]&ip=177.19.71.197&ua=Mozilla%2f5.0+(Windows+NT+6.1%3b+WOW64)+AppleWebKit%2f537.36+(KHTML%2c+like+Gecko)+Chrome%2f58.0.2988.0+Safari%2f537.36&pageurl=https%3a%2f%2fsupport.mozilla.org%2ft5%2fSincronize-e-salve%2ftkb-p%2fsync-and-save-kb-pt-br&contentid=&contenttitle=&contentlength=[CONTENT_LENGTH]&contenturl=&rnd=984045556,https://cdn.optimatic.com/opti-vast-client/opti-vast-client-1.1.6.js,11,22648,1
about:blank,connect-src,http://vast.vertamedia.com/?aid=56596&content_page_url=https%3A%2F%2Fsupport.mozilla.org%2Ft5%2FSincronize-e-salve%2Ftkb-p%2Fsync-and-save-kb-pt-br&player_width=640&player_height=480&vid_duration=&cb=3140501829771303000&vpaid_type=3,https://sdk.streamrail.com/vpaid/js/702/sam.js,6,21342,1
about:blank,connect-src,http://vid.springserve.com/vast/61183?w=640&h=480&url=https%3A%2F%2Fsupport.mozilla.org%2Ft5%2FSincronize-e-salve%2Ftkb-p%2Fsync-and-save-kb-pt-br&cb=419984074258605800&dur=,https://sdk.streamrail.com/vpaid/js/702/sam.js,6,21188,1
about:blank,connect-src,https://ad.lkqd.net/mediafile/blocking_regex,https://ad.lkqd.net/vpaid/vpaid.js?fusion=1.0,1,263292,2
about:blank,connect-src,https://ad.lkqd.net/mediafile/blocking_regex,https://ad.lkqd.net/vpaid/vpaid.js?fusion=1.0,1,263679,4
about:blank,connect-src,https://ads.adaptv.advertising.com/a/h/3ab3sneXedZTz_w48kFK3N5+jxWkIqrQJZzAeThtyJg=?cb=1046120950&pageUrl=http%3A%2F%2Fmozilla.org&description=&duration=30.0&id=%7Bvideo_id%7D&keywords=&title=%7Bvideo_title%7D&url=%7Bvideo_url%7D&eov=eov,https://ad.lkqd.net/vpaid/vpaid.js?fusion=1.0,1,88505,1
about:blank,connect-src,https://ads.adaptv.advertising.com/a/h/3ab3sneXedZTz_w48kFK3N5+jxWkIqrQJZzAeThtyJg=?cb=1543227293&pageUrl=http%3A%2F%2Fmozilla.org&description=&duration=30.0&id=%7Bvideo_id%7D&keywords=&title=%7Bvideo_title%7D&url=%7Bvideo_url%7D&eov=eov,https://ad.lkqd.net/vpaid/vpaid.js?fusion=1.0,1,88505,1
about:blank,connect-src,https://ads.adaptv.advertising.com/a/h/YpYdQV4RPoIpx6ccvlPB6dPmehg43zm_?cb=903102566&pet=preroll&&pageUrl=https%3A%2F%2Fsupport.mozilla.org&eov=eov,https://ad.lkqd.net/vpaid/vpaid.js?fusion=1.0,1,88505,1
about:blank,connect-src,https://ads.adaptv.advertising.com/a/h/ZpFc7SIeKqxmuyMT3ELglGhKzIkyW0FQLI+DFdhYkHaYExcMllCEUw==?cb=1618283752&pageUrl=https%3A%2F%2Fsupport.mozilla.org&description=VIDEO_DESCRIPTION&duration=30.0&id=%7Bvideo_id%7D&keywords=VIDEO_KEYWORDS&title=%7Bvideo_title%7D&url=%7Bvideo_url%7D&eov=eov,https://ad.lkqd.net/vpaid/vpaid.js?fusion=1.0,1,88505,1
about:blank,connect-src,https://ads.adaptv.advertising.com/a/h/ZpFc7SIeKqxmuyMT3ELglGhKzIkyW0FQYWRZ4ZymJkT8Udftx_yHUg==?cb=1433590174&app_bundle=&app_storeurl=&appName=&a.ip=68.228.75.103&a.ua=Mozilla%2F5.0%20%28Windows%20NT%206.1%3B%20Win64%3B%20x64%29%20AppleWebKit%2F537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome%2F57.0.2987.133%20Safari%2F537.36&a.idfa=&a.aid=&pageUrl=apps%3A%2F%2F%2F&eov=eov,https://ad.lkqd.net/vpaid/vpaid.js?fusion=1.0,1,87226,1
about:blank,connect-src,https://ads.adaptv.advertising.com/a/h/moxOESXUo7KYMTL2O6LuBYHuQ7NOgtnU2Cp06kXtXqkL4tzFA61JtQ==?cb=972303475&pageUrl=http%3A%2F%2Fmozilla.org&description=&duration=30.0&id=%7Bvideo_id%7D&keywords=&title=%7Bvideo_title%7D&url=%7Bvideo_url%7D&eov=eov,https://ad.lkqd.net/vpaid/vpaid.js?fusion=1.0,1,87226,1
about:blank,connect-src,https://ads.adaptv.advertising.com/a/h/moxOESXUo7KYMTL2O6LuBYHuQ7NOgtnU2Cp06kXtXqkL4tzFA61JtQ==?cb=972303475&pageUrl=http%3A%2F%2Fmozilla.org&description=&duration=30.0&id=%7Bvideo_id%7D&keywords=&title=%7Bvideo_title%7D&url=%7Bvideo_url%7D&eov=eov,https://ad.lkqd.net/vpaid/vpaid.js?fusion=1.0,1,88505,1
about:blank,connect-src,https://ads.contextweb.com/TagPublish/getvideo.aspx?cp=560626&ct=567467&cwu=mozilla.org&mrnd=16715977&if=6&cf=Video&vpt=0&video=%7B%22pos%22%3A0%2C%22minduration%22%3A0%2C%22maxduration%22%3A30.0%2C%22api%22%3A%5B1%2C2%5D%2C%22protocols%22%3A%5B2%2C5%5D%2C%22mimes%22%3A%5B%22video%2Fmp4%22%2C%22video%2Fwebm%22%2C%22video%2Fx-flv%22%2C%22application%2Fjavascript%22%2C%22application%2Fx-shockwave-flash%22%5D%2C%22playbackmethod%22%3A%5B1%5D%2C%22delivery%22%3A%5B2%5D%2C%22w%22%3A400%2C%22h%22%3A300%7D,https://ad.lkqd.net/vpaid/vpaid.js?fusion=1.0,1,88505,1
about:blank,connect-src,https://ads.contextweb.com/TagPublish/getvideo.aspx?cp=560626&ct=567470&cwu=mozilla.org&mrnd=1584631182&if=6&cf=Video&vpt=0&video=%7B%22pos%22%3A0%2C%22minduration%22%3A0%2C%22maxduration%22%3A30.0%2C%22api%22%3A%5B1%2C2%5D%2C%22protocols%22%3A%5B2%2C5%5D%2C%22mimes%22%3A%5B%22video%2Fmp4%22%2C%22video%2Fwebm%22%2C%22video%2Fx-flv%22%2C%22application%2Fjavascript%22%2C%22application%2Fx-shockwave-flash%22%5D%2C%22playbackmethod%22%3A%5B1%5D%2C%22delivery%22%3A%5B2%5D%2C%22w%22%3A400%2C%22h%22%3A300%7D,https://ad.lkqd.net/vpaid/vpaid.js?fusion=1.0,1,87226,1
about:blank,connect-src,https://ads.contextweb.com/TagPublish/getvideo.aspx?cp=560626&ct=567470&cwu=mozilla.org&mrnd=853658967&if=6&cf=Video&vpt=0&video=%7B%22pos%22%3A0%2C%22minduration%22%3A0%2C%22maxduration%22%3A30.0%2C%22api%22%3A%5B1%2C2%5D%2C%22protocols%22%3A%5B2%2C5%5D%2C%22mimes%22%3A%5B%22video%2Fmp4%22%2C%22video%2Fwebm%22%2C%22video%2Fx-flv%22%2C%22application%2Fjavascript%22%2C%22application%2Fx-shockwave-flash%22%5D%2C%22playbackmethod%22%3A%5B1%5D%2C%22delivery%22%3A%5B2%5D%2C%22w%22%3A400%2C%22h%22%3A300%7D,https://ad.lkqd.net/vpaid/vpaid.js?fusion=1.0,1,87226,1
about:blank,connect-src,https://ads.contextweb.com/TagPublish/getvideo.aspx?cp=560626&ct=567470&cwu=mozilla.org&mrnd=853658967&if=6&cf=Video&vpt=0&video=%7B%22pos%22%3A0%2C%22minduration%22%3A0%2C%22maxduration%22%3A30.0%2C%22api%22%3A%5B1%2C2%5D%2C%22protocols%22%3A%5B2%2C5%5D%2C%22mimes%22%3A%5B%22video%2Fmp4%22%2C%22video%2Fwebm%22%2C%22video%2Fx-flv%22%2C%22application%2Fjavascript%22%2C%22application%2Fx-shockwave-flash%22%5D%2C%22playbackmethod%22%3A%5B1%5D%2C%22delivery%22%3A%5B2%5D%2C%22w%22%3A400%2C%22h%22%3A300%7D,https://ad.lkqd.net/vpaid/vpaid.js?fusion=1.0,1,88505,1
